PARTY_ID|CUSTOMER_ID|PARTY_ROLE_ID
1|1|1
1|116096|5
1|62379|3
2|2|1
2|65541|2
2|13020|4
2|25979|5
2|15420|5
3|3|1
4|4|1
4|92486|2
5|5|1
5|50778|2
5|112670|7
5|101719|2
6|6|1
6|2077|2
6|85230|7
6|109895|4
7|7|1
7|27923|2
7|114300|7
7|29106|2
7|63734|7
8|8|1
8|30399|3
8|74741|6
9|9|1
9|105242|3
10|10|1
11|11|1
11|107890|2
11|42554|3
11|26157|2
11|75561|8
12|12|1
12|39759|7
12|62959|3
12|3592|8
12|76025|6
13|13|1
13|6146|8
13|48498|2
13|8871|2
14|14|1
14|81405|3
14|39449|4
14|9991|3
14|39111|2
15|15|1
15|48677|2
15|84496|2
16|16|1
16|28398|2
16|42229|3
16|10045|2
16|67243|2
17|17|1
17|36041|2
17|118189|2
17|50229|5
17|13770|5
18|18|1
18|12637|5
19|19|1
19|97210|3
19|75433|5
20|20|1
20|95899|3
20|15098|6
20|18122|2
20|76055|5
21|21|1
22|22|1
22|18250|2
22|49545|7
22|69649|8
23|23|1
24|24|1
25|25|1
25|93204|2
26|26|1
26|35990|3
26|32615|6
26|91395|6
26|65911|6
27|27|1
28|28|1
28|92398|7
28|45135|7
28|66187|7
28|51894|8
29|29|1
29|113593|5
29|73312|3
30|30|1
30|35418|2
30|49062|2
30|65199|5
30|64546|2
31|31|1
31|104957|2
31|67856|2
31|42048|4
32|32|1
33|33|1
33|20713|2
34|34|1
34|56784|4
34|57958|6
34|89535|2
34|99698|7
35|35|1
35|2096|7
36|36|1
36|64079|2
36|35056|2
36|42670|4
37|37|1
38|38|1
39|39|1
39|89510|2
39|15773|6
39|37304|6
40|40|1
40|78802|3
40|4549|3
40|80156|5
40|78081|3
41|41|1
41|11676|8
42|42|1
42|13252|2
43|43|1
44|44|1
44|66845|5
44|57024|4
45|45|1
46|46|1
46|36314|5
47|47|1
47|22382|4
47|38693|2
48|48|1
48|119515|7
48|37506|3
48|56342|4
48|7896|6
49|49|1
49|1435|4
49|17748|6
49|44310|2
49|29676|2
50|50|1
51|51|1
51|64421|3
51|91998|2
52|52|1
52|97846|2
53|53|1
53|106574|2
53|74381|5
53|57490|5
53|80224|6
54|54|1
55|55|1
55|99008|7
56|56|1
56|67611|2
56|78805|6
57|57|1
58|58|1
59|59|1
59|22979|2
59|34520|7
59|94109|4
59|73538|2
60|60|1
61|61|1
61|52794|5
61|28523|7
61|95348|8
62|62|1
62|54270|6
63|63|1
64|64|1
64|79770|8
64|84782|8
64|110617|2
65|65|1
66|66|1
66|37457|5
67|67|1
68|68|1
68|111935|5
69|69|1
69|57842|5
69|60439|7
70|70|1
70|59202|6
71|71|1
71|98644|7
71|6323|2
71|101286|2
72|72|1
72|108289|5
72|7012|5
72|106436|6
73|73|1
73|14788|2
74|74|1
74|54085|4
74|105344|3
75|75|1
75|74606|2
76|76|1
76|113939|2
77|77|1
77|4089|4
77|46696|8
77|19667|8
77|85162|4
78|78|1
79|79|1
79|27997|5
79|14338|3
80|80|1
80|115265|4
80|6658|2
81|81|1
81|85562|8
81|104079|2
81|23722|5
82|82|1
83|83|1
83|97234|8
84|84|1
84|37729|8
85|85|1
85|26491|6
86|86|1
86|75774|8
87|87|1
87|65085|2
88|88|1
88|119302|7
88|45834|8
89|89|1
89|18800|2
89|30101|2
90|90|1
90|45582|7
90|91804|5
90|41491|8
91|91|1
91|91585|3
91|91540|3
91|67468|6
91|109195|3
92|92|1
92|44318|8
92|83231|5
93|93|1
93|41451|7
93|90299|8
93|1675|5
94|94|1
94|43284|2
95|95|1
95|11852|4
96|96|1
96|5097|6
96|111843|6
97|97|1
98|98|1
99|99|1
99|58833|5
99|73210|4
99|40452|4
99|64867|4
100|100|1
101|101|1
101|103004|6
101|91507|5
102|102|1
103|103|1
104|104|1
104|112078|2
104|76381|5
104|16849|7
105|105|1
105|85560|7
105|49322|2
105|13371|5
105|56545|2
106|106|1
106|15358|5
107|107|1
108|108|1
109|109|1
109|23985|6
109|21133|5
110|110|1
111|111|1
111|98613|4
111|109705|8
111|37826|6
112|112|1
112|99972|3
112|32082|2
112|62587|4
113|113|1
114|114|1
114|42089|2
114|10263|8
114|26496|4
115|115|1
116|116|1
116|58062|6
116|65839|7
116|110612|3
117|117|1
117|37695|2
117|2556|2
117|11079|7
117|71901|8
118|118|1
118|92919|5
118|38402|5
118|69813|6
119|119|1
119|99534|8
119|107247|4
120|120|1
120|23816|6
120|79860|5
120|48761|4
121|121|1
121|116632|3
121|110128|5
121|81560|8
121|23581|2
122|122|1
122|8763|2
122|27128|3
122|119841|3
122|100504|3
123|123|1
123|113483|5
123|117007|3
124|124|1
125|125|1
126|126|1
126|113018|7
126|75991|8
127|127|1
128|128|1
128|107429|3
128|98194|3
128|4362|2
128|97133|7
129|129|1
130|130|1
131|131|1
131|41736|2
131|41743|7
131|96095|7
131|31833|2
132|132|1
132|47062|4
132|27174|2
133|133|1
133|91325|8
133|2923|6
133|69451|6
133|43077|6
134|134|1
134|63920|5
134|5177|2
134|37502|2
134|82520|2
135|135|1
136|136|1
136|4797|5
136|46527|4
136|20912|8
137|137|1
137|27104|8
137|108266|8
138|138|1
138|20648|3
139|139|1
139|109899|3
139|77281|2
139|58354|7
139|57618|2
140|140|1
140|103089|2
141|141|1
141|98721|6
141|38373|2
142|142|1
142|95286|8
143|143|1
143|99340|2
144|144|1
144|72424|5
145|145|1
